,Cerrar,Var neta,Núm de ticks,Volumen,rango,MVA5
09:30 - 10:30,395.66,2.29,2122.0,327058,3.159999999999968,
10:30 - 11:30,396.3,0.64,1565.0,228333,2.5400000000000205,
11:30 - 12:30,397.79,1.49,770.0,109308,1.5199999999999818,
14:30 - 15:30,396.0,-0.4,1119.0,167603,1.2699999999999818,396.77599999999995
15:30 - 16:30,398.79,2.79,2251.0,554054,2.8799999999999955,397.274
09:30 - 10:30,394.28,-4.51,2828.0,412895,5.330000000000041,396.572
10:30 - 11:30,396.42,2.14,1093.0,141868,3.170000000000016,396.37800000000004
11:30 - 12:30,394.99,-1.43,1488.0,187385,2.1999999999999886,396.096
14:30 - 15:30,397.05,1.27,1250.0,190864,2.180000000000007,396.052
15:30 - 16:30,397.97,0.92,2032.0,382463,1.900000000000034,396.36199999999997
09:30 - 10:30,402.31,4.34,2633.0,407981,4.810000000000002,397.82599999999996
10:30 - 11:30,399.07,-3.24,1983.0,288377,3.6399999999999864,398.436
11:30 - 12:30,397.7,-1.37,1295.0,187119,2.5,398.81999999999994
14:30 - 15:30,398.04,-0.3,869.0,118199,1.4499999999999886,398.236
15:30 - 16:30,396.44,-1.6,2203.0,403433,2.079999999999984,397.71
09:30 - 10:30,390.95,-5.49,4498.0,678310,6.579999999999984,396.36
10:30 - 11:30,390.66,-0.29,3310.0,476581,3.069999999999993,394.886
11:30 - 12:30,391.17,0.51,1498.0,197424,1.490000000000009,393.452
14:30 - 15:30,394.23,2.11,1551.0,203245,2.6000000000000227,391.6739999999999
15:30 - 16:30,393.63,-0.6,2317.0,535434,1.6499999999999773,392.2679999999999
09:30 - 10:30,395.97,2.34,2682.0,406347,2.7099999999999795,393.2279999999999
10:30 - 11:30,397.81,1.84,1611.0,217138,2.5,394.75199999999984
11:30 - 12:30,398.16,0.35,1036.0,140143,1.8700000000000045,395.95999999999987
14:30 - 15:30,397.23,1.02,1373.0,174125,1.080000000000041,397.3839999999999
15:30 - 16:30,398.0,0.77,1931.0,303116,1.4600000000000364,397.42199999999985
09:30 - 10:30,398.86,0.86,2602.0,385831,2.9599999999999795,397.56199999999984
10:30 - 11:30,399.5,0.64,2489.0,357678,2.4600000000000364,397.9599999999999
11:30 - 12:30,399.68,0.18,1402.0,182711,2.3799999999999955,398.6539999999999
14:30 - 15:30,400.0,-1.83,1861.0,242717,3.1899999999999977,400.2039999999999
15:30 - 16:30,401.89,1.89,1798.0,304546,2.3500000000000227,400.6819999999999
09:30 - 10:30,400.88,-1.01,4734.0,670836,6.490000000000009,400.9219999999999
10:30 - 11:30,400.49,-0.39,2031.0,276420,2.099999999999966,401.0179999999999
11:30 - 12:30,400.68,0.19,887.0,117423,2.019999999999982,400.7879999999999
14:30 - 15:30,400.73,1.14,1076.0,133352,1.920000000000016,400.4539999999999
15:30 - 16:30,401.08,0.35,1381.0,195981,1.4800000000000182,400.5719999999999
09:30 - 10:30,399.81,-1.27,4442.0,645654,6.670000000000016,400.3979999999999
10:30 - 11:30,396.84,-2.97,1971.0,275519,3.490000000000009,399.6099999999999
11:30 - 12:30,396.11,-0.73,1281.0,174253,1.3899999999999864,398.9139999999999
14:30 - 15:30,395.6,0.83,2857.0,367556,2.089999999999975,395.9199999999999
15:30 - 16:30,397.54,1.94,2012.0,336295,2.2800000000000296,396.0599999999999
09:30 - 10:30,398.65,1.11,2583.0,409776,3.2799999999999727,396.56799999999987
10:30 - 11:30,398.18,-0.47,1125.0,148534,1.6800000000000068,396.9479999999998
11:30 - 12:30,398.72,0.54,1357.0,192425,1.6100000000000136,397.73799999999983
14:30 - 15:30,391.22,-2.75,2798.0,400750,4.869999999999948,395.8319999999999
15:30 - 16:30,390.86,-0.36,4052.0,640618,2.9600000000000364,394.3679999999999
09:30 - 10:30,393.7,2.84,3487.0,519235,4.109999999999957,393.3639999999999
10:30 - 11:30,394.91,1.21,2302.0,290089,3.1399999999999864,392.9319999999999
11:30 - 12:30,396.48,1.57,1984.0,268142,2.519999999999982,393.43399999999986
14:30 - 15:30,398.24,0.34,1294.0,168752,1.2699999999999818,396.9339999999998
15:30 - 16:30,397.53,-0.71,1903.0,331917,0.9300000000000068,397.45799999999974
09:30 - 10:30,395.67,-1.86,3541.0,515222,3.910000000000025,397.2959999999997
10:30 - 11:30,393.71,-1.96,3060.0,498016,3.7100000000000364,396.6099999999998
11:30 - 12:30,394.84,1.13,2134.0,299032,1.759999999999991,395.99799999999976
14:30 - 15:30,395.64,0.38,1556.0,188210,1.1399999999999864,394.7739999999998
15:30 - 16:30,395.87,0.23,2208.0,369031,1.0900000000000318,395.2059999999998
